,state,city,lattitude,longitude,distance_from_centroid,state_count,Cluster
0,Haryana,Gurugram,29.6019,76.9803,110455.29751405232,62,0
1,Haryana,Gurugram,28.4673,77.0818,110455.19592104274,62,0
2,Rajasthan,Behror,27.8751,76.276,110456.00167712357,69,0
3,Uttar Pradesh,Khatauli,29.3105,77.7218,110454.55598905492,87,0
4,Uttar Pradesh,Khatauli,29.3105,77.7218,110454.55598905492,87,0
5,Himachal Pradesh,Una,31.4668,76.2568,110456.0211922467,6,0
6,Himachal Pradesh,Kasauli,30.879,76.9948,110455.28313268603,6,0
7,Himachal Pradesh,Kasauli,30.879,76.9948,110455.28313268603,6,0
8,Haryana,Karnal,29.7379,76.9756,110455.30222598324,62,0
9,Haryana,Karnal,29.7379,76.9756,110455.30222598324,62,0
10,Haryana,karnal,29.6019,76.9803,110455.29751405232,62,0
11,Haryana,Darbaripur,28.3861,77.0063,110455.27141483297,62,0
12,Maharashtra,Pune,18.538,73.8485,110458.42890436939,260,0
13,Delhi,New Delhi,28.5248,77.101,110455.17672547606,126,0
14,Tamil Nadu,Mettupalayam,11.3217,76.9163,110455.36143430258,176,0
15,Tamil Nadu,Mettupalayam,11.33,76.9027,110455.37503365224,176,0
16,Delhi,New Delhi,28.5682,77.2531,110455.0246288425,126,0
17,Delhi,New Delhi,28.566,77.2664,110455.0113286715,126,0
18,Haryana,Gurugram,28.456,77.001,110455.27672017478,62,0
19,Maharashtra,Khopoli,18.7876,73.3475,110458.92990139309,260,0
20,Uttarakhand,Dehradun,30.2482,78.0961,110454.18177224841,22,0
21,Gujarat,Ahmedabad,23.0158,72.5178,110459.7596366769,78,0
22,Maharashtra,Lonavla,18.763,73.4252,110458.85220166136,260,0
23,Haryana,Gurugram,28.4823,77.0766,110455.20112219633,62,0
24,Rajasthan,Kukas,27.0307,75.8899,110456.38771999434,69,0
25,Rajasthan,Pushkar,26.4547,74.5046,110457.77298472593,69,0
26,Haryana,Gurugram,28.4632,77.049,110455.22872072767,62,0
27,Haryana,Gurugram,28.3639,76.9607,110455.31701314554,62,0
